Years,Quarters,Time Period,Budget,Actual or Projected,Source
2018,1,2018-Q1,241327000,Actual,https://council.nyc.gov/budget/wp-content/uploads/sites/54/2020/05/FY21-NYPD-Executive-Report-1.pdf
2018,2,2018-Q2,241327000,Actual,https://council.nyc.gov/budget/wp-content/uploads/sites/54/2020/05/FY21-NYPD-Executive-Report-1.pdf
2018,3,2018-Q3,241327000,Actual,https://council.nyc.gov/budget/wp-content/uploads/sites/54/2020/05/FY21-NYPD-Executive-Report-1.pdf
2018,4,2018-Q4,241327000,Actual,https://council.nyc.gov/budget/wp-content/uploads/sites/54/2020/05/FY21-NYPD-Executive-Report-1.pdf
2019,1,2019-Q1,244647000,Actual,https://council.nyc.gov/budget/wp-content/uploads/sites/54/2020/05/FY21-NYPD-Executive-Report-1.pdf
2019,2,2019-Q2,244647000,Actual,https://council.nyc.gov/budget/wp-content/uploads/sites/54/2020/05/FY21-NYPD-Executive-Report-1.pdf
2019,3,2019-Q3,244647000,Actual,https://council.nyc.gov/budget/wp-content/uploads/sites/54/2020/05/FY21-NYPD-Executive-Report-1.pdf
2019,4,2019-Q4,244647000,Actual,https://council.nyc.gov/budget/wp-content/uploads/sites/54/2020/05/FY21-NYPD-Executive-Report-1.pdf
2020,1,2020-Q1,247040000,Actual,https://council.nyc.gov/budget/wp-content/uploads/sites/54/2020/05/FY21-NYPD-Executive-Report-1.pdf
2020,2,2020-Q2,247040000,Actual,https://council.nyc.gov/budget/wp-content/uploads/sites/54/2020/05/FY21-NYPD-Executive-Report-1.pdf
2020,3,2020-Q3,247040000,Actual,https://council.nyc.gov/budget/wp-content/uploads/sites/54/2020/05/FY21-NYPD-Executive-Report-1.pdf
2020,4,2020-Q4,247040000,Actual,https://council.nyc.gov/budget/wp-content/uploads/sites/54/2020/05/FY21-NYPD-Executive-Report-1.pdf
2021,1,2021-Q1,246707000,Adopted,https://council.nyc.gov/budget/wp-content/uploads/sites/54/2021/03/056-NYPD.pdf
2021,2,2021-Q2,246707000,Adopted,https://council.nyc.gov/budget/wp-content/uploads/sites/54/2021/03/056-NYPD.pdf
2021,3,2021-Q3,246707000,Adopted,https://council.nyc.gov/budget/wp-content/uploads/sites/54/2021/03/056-NYPD.pdf
2021,4,2021-Q4,246707000,Adopted,https://council.nyc.gov/budget/wp-content/uploads/sites/54/2021/03/056-NYPD.pdf
2022,1,2022-Q1,209443000,Actual,https://council.nyc.gov/budget/wp-content/uploads/sites/54/2024/05/NYPD.pdf
2022,2,2022-Q2,209443000,Actual,https://council.nyc.gov/budget/wp-content/uploads/sites/54/2024/05/NYPD.pdf
2022,3,2022-Q3,209443000,Actual,https://council.nyc.gov/budget/wp-content/uploads/sites/54/2024/05/NYPD.pdf
2022,4,2022-Q4,209443000,Actual,https://council.nyc.gov/budget/wp-content/uploads/sites/54/2024/05/NYPD.pdf
2023,1,2023-Q1,338243000,Actual  ,https://council.nyc.gov/budget/wp-content/uploads/sites/54/2024/05/NYPD.pdf
2023,2,2023-Q2,338243000,Actual  ,https://council.nyc.gov/budget/wp-content/uploads/sites/54/2024/05/NYPD.pdf
2023,3,2023-Q3,338243000,Actual  ,https://council.nyc.gov/budget/wp-content/uploads/sites/54/2024/05/NYPD.pdf
2023,4,2023-Q4,338243000,Actual  ,https://council.nyc.gov/budget/wp-content/uploads/sites/54/2024/05/NYPD.pdf
2024,1,2024-Q1,288801000,Adopted,https://www.nyc.gov/assets/omb/downloads/pdf/ss4-23.pdf
2024,2,2024-Q2,288801000,Adopted,https://www.nyc.gov/assets/omb/downloads/pdf/ss4-23.pdf
2024,3,2024-Q3,288801000,Adopted,https://www.nyc.gov/assets/omb/downloads/pdf/ss4-23.pdf
2024,4,2024-Q4,288801000,Adopted,https://www.nyc.gov/assets/omb/downloads/pdf/ss4-23.pdf
2025,1,2025-Q1,301100000 ,Executive Plan,https://council.nyc.gov/budget/wp-content/uploads/sites/54/2024/05/NYPD.pdf
2025,2,2025-Q2,301100000 ,Executive Plan,https://council.nyc.gov/budget/wp-content/uploads/sites/54/2024/05/NYPD.pdf
2025,3,2025-Q3,301100000 ,Executive Plan,https://council.nyc.gov/budget/wp-content/uploads/sites/54/2024/05/NYPD.pdf